Nombre;Dirección;Código Postal;Teléfono;Fax;Email;Tipo de organización;Ámbito territorial;Sector de población;Ámbito de actuación;Actividades;Función principal;Función secundaria
ASOC. VIZCAINA USUARIOS DE PSIQUIATRIA "EGUNABAR";RONDA                                                                                           S/N           3º A;48005;946569201;;egunabar@egunabar.com;ASOCIACION;BIZKAIA;MINUSVALIDOS/AS;INTERVENCIÓN SOCIAL;DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.OCIO,CULTURALES,TALLERES;AYUDA MUTUA;SERVICIOS A LOS SOCIOS;
ASOC. JUVENIL TXALET DE HIEDRA DE BILBAO;BERGARA                                                                                           2;48012;944432775;;;ASOCIACION;DISTRITO 7 REKALDE;JUVENTUD/ESTUDIANTES;TIEMPO LIBRE;DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.OCIO,CULTURALES,TALLERES,EXPOSICIONES;CREACION DE OPINION;SOLIDARIDAD;
MEDICOS SIN FRONTERAS-ESPAÑA;MAZARREDO                                              47        5º;48009;944231194;944235470;msf-bilbao@barcelona.msf.org;ASOCIACION;INTERNACIONAL;POBLACION EN GENERAL;COOPERACIÓN INTERNACIONAL;REALIZACIàN DE ESTUDIOS,DIVULGACION:CHARLAS,CAMPAÑAS,RECURSOS/FONDO BIBLIOGRAFICO;SOLIDARIDAD;CREACION DE OPINION;
URI-ZAHARREKO JATORRAK ESKAUT TALDEA;MUÑOZ MARIA                                            1;48005;651702321;;jatorrak.eskaut.taldea@hotmail.com;ASOCIACION;DISTRITO 5 IBAIONDO;INFANCIA Y JUVENTUD;TIEMPO LIBRE;ACTIV.OCIO,CULTURALES,TALLERES,CAMPAMENTOS,VISITAS CULTURALES/EXCURSIONES;EDUCAR;SOLIDARIDAD;
ZURBARANGO GOIZKIRI ESKAUT TALDEA;CASERIO LARRAZABAL                                                                     1;48007;944461393;;;ASOCIACION;DISTRITO 2 URIBARRI;INFANCIA Y JUVENTUD;TIEMPO LIBRE;ACTIV.OCIO,CULTURALES,TALLERES,CAMPAMENTOS,VISITAS CULTURALES/EXCURSIONES;EDUCAR;PROMOCION;
ZURI-BELTZA ARGAZKI TALDEA/GRUPO FOTOGRAFICO ZURI-BELTZA;URAZURRUTIA                                                                                   19        1º B;48003;629413371;944151218;;ASOCIACION;BILBAO;POBLACION EN GENERAL;CULTURA;EXPOSICIONES,COLABORACION CON OTRAS ASOCIAC,COLABORACION CON PUBLICACIONES;CREACION ARTISTICA;SERVICIOS A LOS CIUDADANOS;
ASOC. AMIGOS PARQUE DE DEUSTO ZUBI ARTEAN;BOTICA VIEJA                                                                                 25        1º A;48014;944759829;;;ASOCIACION;DISTRITO 1 DEUSTO;POBLACION EN GENERAL;SOCIEDAD;ACTIV.OCIO,CULTURALES,TALLERES;REPRESENTACION Y/O DEFENSA;SERVICIOS A LOS CIUDADANOS;
ASOCIACION MUJERES DE BETOLAZA  UMABE;BETOLATZA                                                                                       51        2º C;48002;944434293;;;ASOCIACION;DISTRITO 7 REKALDE;MUJER;CULTURA;ACTIV.OCIO,CULTURALES,TALLERES,VISITAS CULTURALES/EXCURSIONES;SERVICIOS A LOS CIUDADANOS;;
NAGUSILAN VOLUNTARIADO SOCIAL DE MAYORES "LUZ VIDA";RONDA                                                                                           S/N           3º;48005;946569219;944168864;nagusilan@ganbara.net;ASOCIACION;BILBAO;TERCERA EDAD;INTERVENCIÓN SOCIAL;ACTIV.FORMATIVAS/EDUCATIVAS,ACOMPAÑAMIENTO;AYUDA MUTUA;SOLIDARIDAD;
AIESEC EUSKADI-ASOC. INTERN. ESTUDIANTES DE C.ECONOMICAS Y EMPRESARIALES;AGUIRRE LEHENDAKARI                                                                   83;48015;944760321;;;ASOCIACION;COMUNIDAD AUTONOMA;JUVENTUD/ESTUDIANTES;EDUCACIÓN Y EMPLEO;SERV.INFORMACION/ASESORAMIENTO,DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.FORMATIVAS/EDUCATIVAS,INFO/ORIENT EMPLEO Y FORMACION;SERVICIOS A LOS SOCIOS;SERVICIOS A LOS CIUDADANOS;
PSICOLOGOS SIN FRONTERAS "PSF"-PAIS VASCO;MADARIAGA                                                                                       18        5º B;48014;943448000;;;ASOCIACION;INTERNACIONAL;POBLACION EN GENERAL;COOPERACIÓN INTERNACIONAL;ACTIV.FORMATIVAS/EDUCATIVAS;SOLIDARIDAD;PREVENCION;
ASOC.VASCA DE ESTUDIOS FORESTALES/EUZKADIKO ZUHAITZ IKASKETA ELKARTEA E.A.I.E.;VIRGEN DE BEGOÑA                                       16        5º C;48006;944151509;;;ASOCIACION;COMUNIDAD AUTONOMA;POBLACION EN GENERAL;PROFESIONALES;REALIZACIàN DE ESTUDIOS,ACTIV.FORMATIVAS/EDUCATIVAS;ESTUDIOS/INVESTIGACION;PROTECCION;
ASOC. JUVENIL CLUB DE MONTAÑA INDAUTXUKO MENDIZALE BAZKUNA "IMBETARRAK";AREILZA DOCTOR                                                                             32;48010;944271818;;;ASOCIACION;BILBAO;INFANCIA Y JUVENTUD;TIEMPO LIBRE;ACTIV.OCIO,CULTURALES,TALLERES,CAMPAMENTOS,VISITAS CULTURALES/EXCURSIONES;SERVICIOS A LOS SOCIOS;SERVICIOS A LOS CIUDADANOS;
JOKABIDE ASOC. VASCA PSICOLOGIA COGNITIVO CONDUCTUAL;AGUIRRE LEHENDAKARI                                                                   7         1º A;48014;970930673;;;ASOCIACION;BIZKAIA;POBLACION EN GENERAL;SALUD;ACTIV.FORMATIVAS/EDUCATIVAS;PROMOCION;PREVENCION;
ASOC. ECUATOGUINEANA PARA LA INTEGRACION EN EUSKADI "EFULAN";IBAIALDE                                                                                         3         10 DH;48003;944151388;;;ASOCIACION;COMUNIDAD AUTONOMA;POB. INMIGRANTE Y AUTOCTONA;INTERVENCIÓN SOCIAL;JORNADAS TEMATICAS/CERTAMENES;SERVICIOS A LOS SOCIOS;SOLIDARIDAD;
ASOC. FAMILIARES DE ENFERMOS DE ALZHEIMER (A.F.A.);JOSE Mº OLABARRI                                       6         LJ;48001;944167617;944169596;info@afa-bizkaia.com;ASOCIACION;BIZKAIA;AFECTADOS/ENFERMOS/AS;SALUD;DIVULGACION:CHARLAS,CAMPAÑAS,SERVICIO DE ORIENTACION;AYUDA MUTUA;REPRESENTACION Y/O DEFENSA;
HAIZE ALAI DANTZA TALDEA;SAN NICOLAS DE OLABEAGA                                                           41        4º DH;48013;630152523;;;ASOCIACION;DISTRITO 8 BASURTO-ZORROZA;POBLACION EN GENERAL;CULTURA;ACTIV.FORMATIVAS/EDUCATIVAS;CREACION ARTISTICA;;
ASOCIACION CATOLICA URIZAR DE PADRES DE ALUMNOS DEL COLEGIO AMOR MISERICORDIOSO DE BILBAO;URIZAR                                                                                             0;48012;944436672;;;ASOCIACION;DISTRITO 7 REKALDE;JUVENTUD/ESTUDIANTES;EDUCACIÓN Y EMPLEO;ACTIV.OCIO,CULTURALES,TALLERES,FIESTAS,COMPETICIONES DEPORTIVAS;OTROS;;
ASOC. VASCA DE FIBROMIALGIA Y ASTENIA CRONICA "AVAFAS";MACIA FRANCISCO                                        11        6º;48014;944750120;944760666;avafas@telefonica.net;ASOCIACION;COMUNIDAD AUTONOMA;AFECTADOS/ENFERMOS/AS;SALUD;DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.FORMATIVAS/EDUCATIVAS;AYUDA MUTUA;REPRESENTACION Y/O DEFENSA;
ASOC. ORQUESTA SINFONIETTA RICERCARE;ERCILLA                                                43        3º C;48011;944438710;;mc-cantera@yahoo.es;ASOCIACION;COMUNIDAD AUTONOMA;POBLACION EN GENERAL;CULTURA;REPRESEN/RECITALES/CONCIERTOS;CREACION ARTISTICA;;
ASOC. ENFERMOS LUPUS ERITEMATOSO SISTEMICO (ADELES BIZKAIA);BARRIO ALTAMIRA                                        13        4º;48002;944277924;944277924;lupus_bizkaia@yahoo.es;ASOCIACION;BIZKAIA;POBLACION EN GENERAL;SALUD;DIVULGACION:CHARLAS,CAMPAÑAS;AYUDA MUTUA;SOLIDARIDAD;
KATAMOTZ GAZTE KULTUR ELKARTEA;SARRIKOALDE                                                                                   11        1º C;48015;944475466;;;ASOCIACION;DISTRITO 1 DEUSTO;JUVENTUD/ESTUDIANTES;TIEMPO LIBRE;ACTIV.OCIO,CULTURALES,TALLERES,LUGAR DE ENCUENTRO,CAMPAMENTOS,VISITAS CULTURALES/EXCURSIONES;SERVICIOS A LOS CIUDADANOS;OTROS;
ASOC. VASCO NAVARRA DE TERAPIA FAMILIAR;LUZARRA                                                                                           18        1º;48014;944757880;944759484;avntf@avntf-evntf.com;ASOCIACION;COMUNIDAD AUTONOMA Y  NAVARRA;PROFESIONALES;SALUD;SERV.INFORMACION/ASESORAMIENTO,REALIZACIàN DE ESTUDIOS,ASESORIA JURIDICA,SERVICIOS PROFESIONALES;PROMOCION;ESTUDIOS/INVESTIGACION;
BETIKO BIZKAIKO GAITEROAK TALDEA;PRIM                                                                                                 21;48006;944160554;944160554;;ASOCIACION;COMUNIDAD AUTONOMA Y  NAVARRA;POBLACION EN GENERAL;CULTURA;ACTIV.FORMATIVAS/EDUCATIVAS,ACTIVIDADES DE ANIMACION,REPRESEN/RECITALES/CONCIERTOS;CREACION ARTISTICA;PROMOCION;
ASOC. JUBILADOS Y PENSIONISTAS DE OLABEAGA;SAN NICOLAS DE OLABEAGA                                                           45        2;;944423843;;;ASOCIACION;DISTRITO 8 BASURTO-ZORROZA;TERCERA EDAD;INTERVENCIÓN SOCIAL;ACTIV.OCIO,CULTURALES,TALLERES,VISITAS CULTURALES/EXCURSIONES;AYUDA MUTUA;SOLIDARIDAD;
ASOC. ESCRIBE-LEE / IDATZI IRAKURRI ELKARTEA;AGUIRRE LEHENDAKARI                                                                   42;48014;600742116;;mbiurrun@euskalnet.net;ASOCIACION;BILBAO;POBLACION EN GENERAL;CULTURA;DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.OCIO,CULTURALES,TALLERES,JORNADAS TEMATICAS/CERTAMENES,REVISTA;CREACION ARTISTICA;;
ASOC. VASCA DE ATAXIAS HEREDITARIAS "A.V.A.H.";SALAZAR GENERAL                                                                           18        3º IZ;48012;944430429;;;ASOCIACION;COMUNIDAD AUTONOMA;MINUSVALIDOS/AS;SALUD;DIVULGACION:CHARLAS,CAMPAÑAS;AYUDA MUTUA;SERVICIOS A LOS SOCIOS;
ASOC. FOMENTO DE LA CULTURA EMPRESARIAL;GORDONIZ                                                                                         99        3º A;48002;944433188;944278703;rober.osle@euskalnet.net  y  keraus@correo.cop.es;ASOCIACION;COMUNIDAD AUTONOMA;SOCIOS/AS;EDUCACIÓN Y EMPLEO;INFO/ORIENT EMPLEO Y FORMACION,AUTOEMPLEO/CREACION DE EMPRESA;PROMOCION;SERVICIOS A LOS SOCIOS;
ARANGOITIKO EMAKUME GAZTEAK KISKITINAK;ARANEKOBIDEA                                                                                 33;48014;944755439;;kiskitinak@gmail.com;ASOCIACION;DISTRITO 1 DEUSTO;MUJER;SOCIEDAD;DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.OCIO,CULTURALES,TALLERES;AYUDA MUTUA;CREACION DE OPINION;
BIHARKO AGRUPACION SOCIO CULTURAL;GAIARRE JULIAN                                                                             31        10 A;48004;944120844;;;ASOCIACION;DISTRITO 3 OTXARKOAGA-TXURD.;POBLACION EN GENERAL;INTERVENCIÓN SOCIAL;DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.OCIO,CULTURALES,TALLERES,ACTIV.FORMATIVAS/EDUCATIVAS;SERVICIOS A LOS CIUDADANOS;;
CLUB JUBILADOS EL DESCANSO DE LA RIBERA DE DEUSTO;OLABEAGA                                                                                         14;48014;944753272;;;ASOCIACION;DISTRITO 1 DEUSTO;TERCERA EDAD;INTERVENCIÓN SOCIAL;LUGAR DE ENCUENTRO;AYUDA MUTUA;;
ANAIDIA (FRANCISCANOS DE EUSKADI);IRALA                                                                                               8;48012;944211936;;topez@euskalnet.net;ASOCIACION;COMUNIDAD AUTONOMA;POBLACION EN GENERAL;COOPERACIÓN INTERNACIONAL;DIVULGACION:CHARLAS,CAMPAÑAS,EXPOSICIONES,RECURSOS/FONDO BIBLIOGRAFICO;SOLIDARIDAD;CREACION DE OPINION;
ASOCIACION CULTURAL MENDI ALAI;ERCILLA                                                18        4º DH;48009;944230007;;mendialai@euskalnet.net;ASOCIACION;BILBAO;JUVENTUD/ESTUDIANTES;TIEMPO LIBRE;ACTIV.OCIO,CULTURALES,TALLERES,ACTIV.FORMATIVAS/EDUCATIVAS,CAMPAMENTOS;PROMOCION;SOLIDARIDAD;
FEDERACION BOSKO TALDEA DE EUSKADI;AGUIRRE LEHENDAKARI                                                                   75;48014;944750198;944760614;fed.boskotaldea@confedonbosco.org;FEDERACION;COMUNIDAD AUTONOMA;INFANCIA Y JUVENTUD;TIEMPO LIBRE;ACTIV.OCIO,CULTURALES,TALLERES,ACTIV.FORMATIVAS/EDUCATIVAS,PUBLICACIONES;PROMOCION;SERVICIOS A LOS CIUDADANOS;
ASOC.VECINOS DE SARRIKUE CUESTA;SARRIKUE                                                                                         5;48007;944463886;;;ASOCIACION;DISTRITO 2 URIBARRI;PADRES Y MADRES/FAMILIAS;BARRIO;ACTIV.OCIO,CULTURALES,TALLERES;SERVICIOS A LOS CIUDADANOS;AYUDA MUTUA;
HARRESIAK APURTUZ COORDIN.DE ONGS DE EUSKADI DE APOYO A INMIGRANTES;BAILEN                                                                                             11   Y    BA;48003;944150735;944156079;harresiak@harresiak.org;ASOCIACION;COMUNIDAD AUTONOMA;POB. INMIGRANTE Y AUTOCTONA;INTERVENCIÓN SOCIAL;REALIZACIàN DE ESTUDIOS,DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.FORMATIVAS/EDUCATIVAS,SENSIBILIZACION:CONCEN,MANIF;CREACION DE OPINION;SOLIDARIDAD;
ASOCIACION JUVENIL ZIRKILU DE BILBAO;URETAMENDI                                                                                     4;48002;944105952;;zirkilu@gazteleku.org;ASOCIACION;DISTRITO 7 REKALDE;INFANCIA Y JUVENTUD;TIEMPO LIBRE;CAMPAMENTOS,VISITAS CULTURALES/EXCURSIONES;SERVICIOS A LOS SOCIOS;AYUDA MUTUA;
GAZTEDI DANTZARI TALDEA;SANTUTXU                                                                                         74;48004;944734423;944734423;gaztedi@gaztedi.net;ASOCIACION;COMUNIDAD AUTONOMA;POBLACION EN GENERAL;CULTURA;ACTIV.FORMATIVAS/EDUCATIVAS,REPRESEN/RECITALES/CONCIERTOS,EXPOSICIONES;CREACION ARTISTICA;REPRESENTACION Y/O DEFENSA;
AGRUPACION CORAL ARRAIZPE DE BILBAO;ERREKALDE                                                                                       3;48002;944425197;;;ASOCIACION;COMUNIDAD AUTONOMA;POBLACION EN GENERAL;CULTURA;REPRESEN/RECITALES/CONCIERTOS;CREACION ARTISTICA;PROMOCION;
ASOC. MUJERES INDEPENDIENTES Y ACTIVAS DE OLABEAGA (M.I.A.O.);SAN NICOLAS DE OLABEAGA                                                           41        5º IZ;48013;944420293;;;ASOCIACION;DISTRITO 8 BASURTO-ZORROZA;MUJER;CULTURA;ACTIV.OCIO,CULTURALES,TALLERES;AYUDA MUTUA;CREACION ARTISTICA;
ALTERNA. PARA COOPERA. AL DESARROLLO Y LA INTERCULTURALIDAD "A.C.D.I.";SAN MARTIN DE LA ASCENSION                                                     2         8º B;48004;617043341;;;ASOCIACION;COMUNIDAD AUTONOMA;POBLACION EN GENERAL;COOPERACIÓN INTERNACIONAL;REALIZACIàN DE ESTUDIOS,DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.OCIO,CULTURALES,TALLERES;SOLIDARIDAD;PROMOCION;
ASOC.VECINOS NUEVO PLAN ATXURI PALOKA;ENCARNACION                                                                                   29        BA;48006;944532024;;;ASOCIACION;DISTRITO 5 IBAIONDO;POBLACION EN GENERAL;BARRIO;SERV.INFORMACION/ASESORAMIENTO,DIVULGACION:CHARLAS,CAMPAÑAS;SERVICIOS A LOS CIUDADANOS;AYUDA MUTUA;
IKERKETA MARXISTEN KULTUR BILTOKIA "CECEM";DIAZ DE HARO MARIA                                     19        3º A;48013;944419190;;;ASOCIACION;COMUNIDAD AUTONOMA;POBLACION EN GENERAL;CULTURA;REALIZACIàN DE ESTUDIOS,DIVULGACION:CHARLAS,CAMPAÑAS;ESTUDIOS/INVESTIGACION;;
ASOC.ATENCION Y PROMO.COLECTIVOS EN EXCLUSION SOCIAL "IZANGAI";GARCIA SALAZAR                                                                             16;48003;944701223;944700966;elkartea@izangai.org;ASOCIACION;BILBAO;MARGINADOS/EXCLUIDOS/AS;INTERVENCIÓN SOCIAL;ASESORIA JURIDICA,CENTRO DE DIA,SERVICIO DE ATENCION INMEDIATA;PROMOCION;PREVENCION;
ASOCIACION EDUCATIVA GAITASUNA;ZARATE MIKEL                                                                                 4         13;48015;653747610;;;ASOCIACION;BIZKAIA;TERCERA EDAD;INTERVENCIÓN SOCIAL;ACTIV.OCIO,CULTURALES,TALLERES,SERVICIO ESTADISTICO/DE DATOS,REVISTA,FANZINE;PROMOCION;PREVENCION;
ASOC.MUJERES IZAERA DE DEUSTO-SAN IGNACIO;MADARIAGA                                                                                       15        5º;48014;944752353;;tzubimendi@gmail.com;ASOCIACION;DISTRITO 1 DEUSTO;MUJER;INTERVENCIÓN SOCIAL;ACTIV.OCIO,CULTURALES,TALLERES,ASESORIA JURIDICA,SERVICIO ATENCION/ASISTENCIA;PROMOCION;AYUDA MUTUA;
ASOCIACION DE OCIO Y TIEMPO LIBRE "BONISAGUS";ALLENDE PARTICULAR                                                                     13        2º;48004;944122985;;;ASOCIACION;BILBAO;POBLACION EN GENERAL;CULTURA;ACTIV.OCIO,CULTURALES,TALLERES;SERVICIOS A LOS SOCIOS;SERVICIOS A LOS CIUDADANOS;
ASOCIACION HUMANITARIA "LA BUENA MANO";TXOTENA                                                                                           17        3º;48004;944567090;;pandamanuel@hotmail.com;ASOCIACION;BIZKAIA;POB. INMIGRANTE Y AUTOCTONA;SOCIEDAD;REPRESEN/RECITALES/CONCIERTOS,TERAPIAS /REHABILITACION,AYUDAS MATERIALES;AYUDA MUTUA;SOLIDARIDAD;
FEVAAS FED.VASCA DE ASOC.DE PREJUBILADOS Y PENSIONISTAS;RONDA                                                                                               0         3  H;48005;946579383;944239760;fevaas8@gmail.com;FEDERACION;COMUNIDAD AUTONOMA;POBLACION EN GENERAL;INTERVENCIÓN SOCIAL;SERV.INFORMACION/ASESORAMIENTO,DIVULGACION:CHARLAS,CAMPAÑAS,SENSIBILIZACION:CONCEN,MANIF;REPRESENTACION Y/O DEFENSA;SERVICIOS A LOS SOCIOS;
AVAPAMU ASOC.VASCA PADRES CON HIJOS PARTOS MULTIPLES;LABAYRU                                                                                           25        4º;48012;944102747;;;ASOCIACION;BIZKAIA;PADRES Y MADRES/FAMILIAS;INTERVENCIÓN SOCIAL;AYUDAS MATERIALES;SERVICIOS A LOS SOCIOS;REPRESENTACION Y/O DEFENSA;
ASOCIACION TALLER AUDIOVISUAL TENDEL;ARBOLANTZA TRAVESIA                                    26        2;48004;944122468;;info@otxarkoaga.es;ASOCIACION;DISTRITO 3 OTXARKOAGA-TXURD.;POBLACION EN GENERAL;CULTURA;ACTIV.OCIO,CULTURALES,TALLERES;SERVICIOS A LOS CIUDADANOS;PROMOCION;
ASOCIACION ZIBA/ZIBA ELKARTEA;AGUIRRE LEHENDAKARI                                                                   46;48014;944747795;944747795;ziba@zibaelkartea.org;ASOCIACION;COMUNIDAD AUTONOMA;POBLACION EN GENERAL;INTERVENCIÓN SOCIAL;ACTIV.OCIO,CULTURALES,TALLERES,SERVICIO ATENCION/ASISTENCIA;SERVICIOS A LOS CIUDADANOS;;
SANTUTXUKO CANTHARELLUS MICOLOGI ELKARTEA;EGUILUZ ANTONIO MEDICO                                                             3         EN;48004;944337126;;;ASOCIACION;;POBLACION EN GENERAL;CULTURA;DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.OCIO,CULTURALES,TALLERES,EXPOSICIONES;ESTUDIOS/INVESTIGACION;;
COMISION DE FIESTAS URECIRLAZA;URETAMENDI                                                                                     36   Y;48002;944218611;;;ASOCIACION;DISTRITO 7 REKALDE;POBLACION EN GENERAL;CULTURA;ACTIV.OCIO,CULTURALES,TALLERES,FIESTAS;PROMOCION;SERVICIOS A LOS CIUDADANOS;
ASOC. PARA EL DESARROLLO DE LA MEDIACION "HIZKETAN";AJURIAGUERRA JUAN                                      5         1º IC;48009;944239630;;;ASOCIACION;COMUNIDAD AUTONOMA;POBLACION EN GENERAL;INTERVENCIÓN SOCIAL;SERV.INFORMACION/ASESORAMIENTO,MEDIACION EN CONFLICTOS;SERVICIOS A LOS CIUDADANOS;PROMOCION;
GRUPO DE TEATRO SOLIDARIO "LUNA LLENA";ZURBARANBARRI                                                                               6         3º;48007;944203376;;;ASOCIACION;BILBAO;POBLACION EN GENERAL;CULTURA;REPRESEN/RECITALES/CONCIERTOS;CREACION ARTISTICA;SERVICIOS A LOS CIUDADANOS;
ASOCIACION CULTURAL GURE OIHALAK;SANTUTXU                                                                                         39        6º;48004;944117118;;;ASOCIACION;BIZKAIA;POBLACION EN GENERAL;CULTURA;DIVULGACION:CHARLAS,CAMPAÑAS,VISITAS CULTURALES/EXCURSIONES,SERVICIO ESTADISTICO/DE DATOS,REVISTA;CREACION ARTISTICA;;
BERBAIZU DEUSTUKO EUSKARA ELKARTEA;RAMON Y CAJAL                                                                               42;48014;944471042;944471042;bulegoa@berbaizu.org    aitor@etxebarri.net;ASOCIACION;DISTRITO 1 DEUSTO;EUSKALDUNES;SOCIEDAD;SERV.INFORMACION/ASESORAMIENTO,ACTIV.OCIO,CULTURALES,TALLERES,JORNADAS TEMATICAS/CERTAMENES,VISITAS CULTURALES/EXCURSIONES;PROMOCION;NORMALIZACION;
ASOCIACION NACIONAL SINDROME DE APERT-ANSA;BRIÑAS LUIS                                            19        5º C;48013;914457468;944423838;asociacionapert.bilbao@telefonica.net;ASOCIACION;COMUNIDAD AUTONOMA;MINUSVALIDOS/AS;SALUD;DIVULGACION:CHARLAS,CAMPAÑAS;SERVICIOS A LOS SOCIOS;;
MAKALA OLABEAGATIK OLABEAGARAKO ALDISKARIA;OLABEAGA                                                                                         30        B;48013;944417443;;;ASOCIACION;DISTRITO 8 BASURTO-ZORROZA;POBLACION EN GENERAL;INTERVENCIÓN SOCIAL;DIVULGACION:CHARLAS,CAMPAÑAS,JORNADAS TEMATICAS/CERTAMENES,REVISTA;SERVICIOS A LOS CIUDADANOS;ESTUDIOS/INVESTIGACION;
TXAHAL APARTA KULTUR ELKARTEA;KARMELO                                                                                           12        LO;48004;667748080;;;ASOCIACION;COMUNIDAD AUTONOMA;POBLACION EN GENERAL;CULTURA;JORNADAS TEMATICAS/CERTAMENES,REPRESEN/RECITALES/CONCIERTOS;PROMOCION;CREACION ARTISTICA;
ASOC. THEVENET ANTIGUOS ALUMNOS JESUS-MARIA;CARRETERA ENEKURI ARTXANDA                             36;48015;944456100;944460877;;ASOCIACION;BILBAO;ADULTOS/AS;EDUCACIÓN Y EMPLEO;ACTIV.OCIO,CULTURALES,TALLERES,ESCUELA DE PADRES/MADRES;SERVICIOS A LOS SOCIOS;SOLIDARIDAD;
EUSKADIKO HAPKI YU KWON SUL KULTURA ELKARTEA;ARREGUI RICARDO                                                                           31        5º;48007;944466799;;gruiz@euskalnet.net;ASOCIACION;COMUNIDAD AUTONOMA Y  NAVARRA;POBLACION EN GENERAL;DEPORTIVAS;SERV.INFORMACION/ASESORAMIENTO,ACTIV.FORMATIVAS/EDUCATIVAS,COMPETICIONES DEPORTIVAS;ESTUDIOS/INVESTIGACION;PROTECCION;
BIHOTZARAN ASOCIACION DE VECINOS DE ARANGOITI;ARANEKO                                                                                           17        2º BA;48014;944763757;;;ASOCIACION;DISTRITO 1 DEUSTO;POBLACION EN GENERAL;BARRIO;DIVULGACION:CHARLAS,CAMPAÑAS,FIESTAS;SERVICIOS A LOS CIUDADANOS;CREACION ARTISTICA;
ORPHENICA LYRA ASOCIACION PARA LA DIVULGACION DE LA POESIA Y LAS LETRAS;AGUIRRE LEHENDAKARI                                                                   30        3º IZ;48014;944473952;944833476;;ASOCIACION;COMUNIDAD AUTONOMA;POBLACION EN GENERAL;CULTURA;REPRESEN/RECITALES/CONCIERTOS;SERVICIOS A LOS CIUDADANOS;CREACION ARTISTICA;
ASOCIACION "LA HACERIA" ARTES ESCENICAS DE BILBAO;RIBERA DE DEUSTO                                       43;48014;655701442;;tania@zwap.org;ASOCIACION;COMUNIDAD AUTONOMA;POBLACION EN GENERAL;CULTURA;ACTIV.OCIO,CULTURALES,TALLERES,ACTIV.FORMATIVAS/EDUCATIVAS,REPRESEN/RECITALES/CONCIERTOS,PROYECCIONES;PROMOCION;CREACION ARTISTICA;
